Trial,calltype,rms,maxAmp,meanS,stdS,skewS,kurtS,entS,q1,q2,q3,meanT,stdT,skewT,kurtT,entT
echolocation,echo,18.19492,40.22919,36534.37,12861.59,0.121522,1.63893,0.927257,23812.5,37125,48562.5,0.271233,0.163514,-0.00418,1.744759,0.99322
echolocation,echo,18.04926,40.24115,36629.49,12924.49,0.09977,1.635367,0.929729,23812.5,37312.5,48750,0.318727,0.190505,-0.01242,1.766427,0.994215
echolocation,echo,17.87369,20.0242,38700.48,11753.61,-0.0183,1.768541,0.930171,27562.5,39937.5,49312.5,0.261309,0.144788,-0.11051,1.773486,0.997803
echolocation,echo,35.25562,66.13335,30878.18,9940.112,1.042435,3.154836,0.884768,23625,27187.5,37125,0.40376,0.206319,-0.27611,1.917285,0.985012
echolocation,echo,36.30002,65.99584,29445.1,9861.637,1.173234,3.583394,0.883229,22500,26062.5,34687.5,0.348928,0.208193,0.17812,1.869906,0.985448
echolocation,echo,36.30155,66.07293,29502.09,9558.553,1.237034,3.789195,0.875581,22875,26062.5,34312.5,0.348313,0.208445,0.179196,1.870056,0.985512
echolocation,echo,21.85996,29.03103,33143.3,12859.06,0.42411,1.803496,0.918693,21375,30375,44437.5,0.408449,0.252478,0.123034,1.782754,0.99549
echolocation,echo,21.85622,29.01716,33619.77,12691.85,0.377363,1.802061,0.922426,21937.5,32250,44625,0.40455,0.248057,0.118514,1.780892,0.995289
echolocation,echo,18.03245,24.33345,39412.59,11316.2,-0.13061,1.940852,0.926798,29812.5,40500,49125,0.345019,0.202384,0.056173,1.80925,0.996824
echolocation,echo,16.39058,19.69009,41265.11,11030.17,-0.32079,2.095933,0.922142,33750,42750,51187.5,0.289817,0.165722,0.049566,1.821624,0.997975
echolocation,echo,15.17579,15.34379,42113.91,10959.23,-0.4097,2.180876,0.923163,34687.5,44062.5,51937.5,0.248853,0.143848,0.019287,1.806515,0.999406
echolocation,echo,13.52879,11.9934,44446.31,9834.113,-0.58473,2.636417,0.907475,38437.5,46125,53250,0.373801,0.216307,0.011426,1.799195,0.999823
echolocation,echo,20.61855,35.24173,39055.76,11290.82,0.012161,1.732836,0.920093,28125,39937.5,48937.5,0.392124,0.218022,-0.10479,1.781576,0.995837
echolocation,echo,23.19913,35.15788,38035.76,11306.11,0.141251,1.720224,0.916436,27187.5,38250,48000,0.240869,0.141306,0.11946,1.838787,0.993741
echolocation,echo,13.53903,13.21627,44178.12,9934.397,-0.56005,2.585562,0.90883,38437.5,45750,53250,0.249359,0.143841,0.014728,1.797601,0.999761
echolocation,echo,13.52717,13.72159,44236.4,9933.113,-0.56429,2.588923,0.908519,38437.5,45750,53250,0.37705,0.215787,-0.00757,1.799906,0.999616
echolocation,echo,14.99448,22.73736,41697.55,11708.75,-0.40445,2.036148,0.926203,33187.5,43875,52312.5,0.251395,0.142436,-0.03205,1.821482,0.998266
echolocation,echo,17.09036,24.03633,38258.18,12040.43,0.024513,1.747335,0.933359,27000,39187.5,49125,0.384417,0.212852,-0.0572,1.830758,0.997368
echolocation,echo,17.31763,24.02139,37931.2,12074.05,0.062532,1.743118,0.932934,26625,38625,48750,0.377662,0.212449,-0.01844,1.836237,0.997308
